"","County","Year_2020_06"
"1","Alameda",317
"2","Alpine",0
"3","Amador",78
"4","Butte",136
"5","Calaveras",15
"6","Colusa",0
"7","Contra Costa",0
"8","Del Norte",0
"9","El Dorado",0
"10","Fresno",135
"11","Glenn",3
"12","Humboldt",48
"13","Imperial",4
"14","Inyo",0
"15","Kern",38
"16","Kings",3
"17","Lake",3
"18","Lassen",0
"19","Los Angeles",0
"20","Los Angeles City",0
"21","Madera",26
"22","Marin",73
"23","Mariposa",3
"24","Mendocino",23
"25","Merced",29
"26","Modoc",0
"27","Mono",0
"28","Monterey",155
"29","Napa",11
"30","Nevada",18
"31","Orange",306
"32","Placer",39
"33","Plumas",1
"34","Riverside",254
"35","Sacramento",349
"36","San Benito",0
"37","San Bernardino",132
"38","San Diego",0
"39","San Francisco",0
"40","San Joaquin",0
"41","San Luis Obispo",45
"42","San Mateo",0
"43","Santa Barbara",0
"44","Santa Clara",251
"45","Santa Cruz",59
"46","Shasta",13
"47","Sierra",0
"48","Siskiyou",2
"49","Solano",39
"50","Sonoma",121
"51","Stanislaus",28
"52","Sutter",4
"53","Tehama",4
"54","Trinity",0
"55","Tulare",94
"56","Tuolumne",21
"57","Unknown",251
"58","Ventura",135
"59","Yolo",33
"60","Yuba",45
